postal,name,lat,lng,province
1380,Maransart,50.65953,4.46745,Waals-Brabant
1380,Ohain,50.69907,4.46919,Waals-Brabant
1380,Plancenoit,50.66196,4.42863,Waals-Brabant
1390,Archennes,50.7524768,4.669868,Waals-Brabant
1390,Biez,50.7267436,4.7019841,Waals-Brabant
1390,Bossut-Gottechain,50.7613181,4.6941056,Waals-Brabant
1390,Grez-Doiceau,50.7385816,4.6972809,Waals-Brabant
1390,Nethen,50.7837825,4.6741168,Waals-Brabant
1400,Monstreux,50.59803,4.28884,Waals-Brabant
1400,Nivelles,50.5886574,4.3308649,Waals-Brabant
1401,Baulers,50.61341,4.35387,Waals-Brabant
1402,Thines,50.59734,4.36846,Waals-Brabant
1404,Bornival,50.6011653,4.2762763,Waals-Brabant
1410,Waterloo,50.71469,4.3991,Waals-Brabant
1420,Braine-L'alleud,50.6969022,4.3538379,Waals-Brabant
1421,Ophain-Bois-Seigneur-Isaac,50.66642,4.34886,Waals-Brabant
1428,Lillois-Witterzée,50.64567,4.36712,Waals-Brabant
1430,Bierghes,50.6956998,4.1195104,Waals-Brabant
1430,Quenast,50.6729162,4.157332,Waals-Brabant
1430,Rebecq,50.665828,4.1326285,Waals-Brabant
1430,Rebecq-Rognon,50.6659293,4.1326563,Waals-Brabant
1435,Corbais,50.6462709,4.6553809,Waals-Brabant
1435,Hévillers,50.6215801,4.6154602,Waals-Brabant
1435,Mont-Saint-Guibert,50.6347043,4.6106474,Waals-Brabant
1440,Braine-Le-ChÂteau,50.6802986,4.2689347,Waals-Brabant
1440,Wauthier-Braine,50.68121,4.29806,Waals-Brabant
1450,Chastre,50.60813,4.63569,Waals-Brabant
1450,Chastre-Villeroux-Blanmont,50.6,4.617,Waals-Brabant
1450,Cortil-Noirmont,50.58136,4.64284,Waals-Brabant
1450,Gentinnes,50.581655,4.6012217,Waals-Brabant
1450,Saint-Géry,50.5804909,4.6124318,Waals-Brabant
1457,Nil-Saint-Vincent-Saint-Martin,50.64214,4.67982,Waals-Brabant
1457,Tourinnes-Saint-Lambert,50.63932,4.72389,Waals-Brabant
1457,Walhain,50.61654,4.69545,Waals-Brabant
1457,Walhain-Saint-Paul,50.632777,4.7025798,Waals-Brabant
1460,Ittre,50.6326887,4.2632352,Waals-Brabant
1460,Virginal-Samme,50.63983,4.20587,Waals-Brabant
1461,Haut-Ittre,50.65357,4.29825,Waals-Brabant
1470,Baisy-Thy,50.5969876,4.4760976,Waals-Brabant
1470,Bousval,50.6149444,4.5051441,Waals-Brabant
1470,Genappe,50.6108278,4.4503759,Waals-Brabant
1471,Loupoigne,50.5978099,4.4445799,Waals-Brabant
1472,Vieux-Genappe,50.6082918,4.4405969,Waals-Brabant
1473,Glabais,50.6302595,4.4532789,Waals-Brabant
1474,Ways,50.6104429,4.4644969,Waals-Brabant
1476,Houtain-Le-Val,50.5829629,4.4113773,Waals-Brabant
1480,Clabecq,50.69212,4.22163,Waals-Brabant
1480,Oisquercq,50.66989,4.21985,Waals-Brabant
1480,Saintes,50.70615,4.15817,Waals-Brabant
1480,Tubize,50.69054,4.2026,Waals-Brabant
1490,Court-Saint-Etienne,50.6422504,4.5680813,Waals-Brabant
1495,Marbais,50.5463818,4.5351225,Waals-Brabant
